,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1158,AB1158,Carrillo (A) ,77,1,3,Floor,['Carrillo (A) '],1,0
1160,AB1160,Dahle (A) ,77,1,3,Floor,['Dahle (A) '],0,1
1161,AB1161,Calderon (A) ,74,1,6,Floor,['Calderon (A) '],1,0
1162,AB1162,Kalra (A) ,50,24,6,Floor,['Kalra (A) '],1,0
1164,AB1164,Gloria (A) ,74,1,6,Floor,['Gloria (A) '],1,0
1165,AB1165,Bauer-Kahan (A) ,77,1,3,Floor,['Bauer-Kahan (A) '],1,0
1166,AB1166,Levine (A) ,74,1,6,Floor,['Levine (A) '],1,0
1168,AB1168,Mullin (A) ,74,1,6,Floor,['Mullin (A) '],1,0
1172,AB1172,Frazier (A) ,78,1,2,Floor,['Frazier (A) '],1,0
1175,AB1175,Wood (A) ,75,1,5,Floor,['Wood (A) '],1,0
1178,AB1178,Quirk (A) ,74,1,5,Floor,['Quirk (A) '],1,0
1181,AB1181,Limón (A) ,69,1,10,Floor,['Limón (A) '],1,0
1183,AB1183,"Ramos (A) , Obernolte (A) ",77,1,3,Floor,"['Ramos (A) ', ' Obernolte (A) ']",1,1
1184,AB1184,Gloria (A) ,59,8,13,Floor,['Gloria (A) '],1,0
1185,AB1185,McCarty (A) ,43,23,14,Floor,['McCarty (A) '],1,0
1188,AB1188,Gabriel (A) ,76,1,4,Floor,['Gabriel (A) '],1,0
1190,AB1190,Irwin (A) ,77,1,3,Floor,['Irwin (A) '],1,0
1191,AB1191,Bonta (A) ,69,1,10,Floor,['Bonta (A) '],1,0
1195,AB1195,O'Donnell (A) ,62,5,13,Floor,"[""O'Donnell (A) ""]",1,0
1197,AB1197,Santiago (A) ,72,1,8,Floor,['Santiago (A) '],1,0
1199,AB1199,Petrie-Norris (A) ,74,1,6,Floor,['Petrie-Norris (A) '],1,0
1202,AB1202,Chau (A) ,56,13,11,Floor,['Chau (A) '],1,0
1208,AB1208,Ting (A) ,76,1,4,Floor,['Ting (A) '],1,0
1209,AB1209,Nazarian (A) ,74,1,6,Floor,['Nazarian (A) '],1,0
1212,AB1212,Levine (A) ,58,15,7,Floor,['Levine (A) '],1,0
1214,AB1214,Melendez (A) ,77,1,3,Floor,['Melendez (A) '],0,1
1215,AB1215,Ting (A) ,45,17,18,Floor,['Ting (A) '],1,0
1217,AB1217,Mullin (A) ,65,4,11,Floor,['Mullin (A) '],1,0
1219,AB1219,Jones-Sawyer (A) ,68,1,12,Floor,['Jones-Sawyer (A) '],1,0
1220,AB1220,Cristina Garcia (A) ,76,1,4,Floor,['Cristina Garcia (A) '],0,0
1221,AB1221,"Cooley (A) , Mathis (A) , Reyes (A) ",77,1,3,Floor,"['Cooley (A) ', ' Mathis (A) ', ' Reyes (A) ']",2,1
1223,AB1223,"Arambula (A) , Aguiar-Curry (A) ",76,1,4,Floor,"['Arambula (A) ', ' Aguiar-Curry (A) ']",2,0
1226,AB1226,Holden (A) ,62,5,13,Floor,['Holden (A) '],1,0
1227,AB1227,Obernolte (A) ,78,1,2,Floor,['Obernolte (A) '],0,1
1229,AB1229,Wicks (A) ,78,1,2,Floor,['Wicks (A) '],1,0
1232,AB1232,Gloria (A) ,58,18,4,Floor,['Gloria (A) '],1,0
1233,AB1233,Smith (A) ,78,1,2,Floor,['Smith (A) '],1,0
1235,AB1235,Chu (A) ,76,1,4,Floor,['Chu (A) '],1,0
1246,AB1246,Limón (A) ,58,19,3,Floor,['Limón (A) '],1,0
1248,AB1248,Eduardo Garcia (A) ,77,1,3,Floor,['Eduardo Garcia (A) '],0,0
1249,AB1249,Maienschein (A) ,76,1,4,Floor,['Maienschein (A) '],1,0
1251,AB1251,Santiago (A) ,76,1,4,Floor,['Santiago (A) '],1,0
1253,AB1253,Robert Rivas (A) ,59,17,4,Floor,['Robert Rivas (A) '],0,0
1254,AB1254,Kamlager-Dove (A) ,54,21,5,Floor,['Kamlager-Dove (A) '],0,0
1255,AB1255,Robert Rivas (A) ,78,1,2,Floor,['Robert Rivas (A) '],0,0
1257,AB1257,Salas (A) ,77,1,3,Floor,['Salas (A) '],1,0
1260,AB1260,Maienschein (A) ,63,12,5,Floor,['Maienschein (A) '],1,0
1261,AB1261,Jones-Sawyer (A) ,71,1,9,Floor,['Jones-Sawyer (A) '],1,0
1264,AB1264,Petrie-Norris (A) ,64,1,16,Floor,['Petrie-Norris (A) '],1,0
1265,AB1265,Robert Rivas (A) ,76,1,4,Floor,['Robert Rivas (A) '],0,0
1266,AB1266,Robert Rivas (A) ,68,1,12,Floor,['Robert Rivas (A) '],0,0
1269,AB1269,Blanca Rubio (A) ,77,1,3,Floor,['Blanca Rubio (A) '],0,0
1270,AB1270,Mark Stone (A) ,56,19,5,Floor,['Mark Stone (A) '],0,0
1274,AB1274,"Arambula (A) , Salas (A) ",77,1,3,Floor,"['Arambula (A) ', ' Salas (A) ']",2,0
1275,AB1275,Santiago (A) ,77,1,3,Floor,['Santiago (A) '],1,0
1278,AB1278,Gabriel (A) ,74,1,6,Floor,['Gabriel (A) '],1,0
1279,AB1279,Bloom (A) ,46,20,14,Floor,['Bloom (A) '],1,0
1281,AB1281,Chau (A) ,61,13,6,Floor,['Chau (A) '],1,0
1282,AB1282,Kalra (A) ,59,15,6,Floor,['Kalra (A) '],1,0
